,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,DATE,company_name
BA UN Equity.4,2785000000,3359000000,3791000000,1261000000,5946000000,-1712000000,-5468000000,-1808000000,-4306000000,-1323000000,29445000000,-7688000000,CHNG_WORK_CAP,BA UN Equity
BA UN Equity.5,1.749447952,2.492180112,2.084506353,2.421989541,2.463586082,2.549056329,2.794771969,1.849901601,1.702809339,2.395538082,2.240448434,1.573387278,CAP_EXPEND_TO_SALES,BA UN Equity
BA UN Equity.6,-1062000000,-1619000000,-1606000000,-2047000000,-2202000000,-2408000000,-2575000000,-1647000000,-1602000000,-1500000000,-1007000000,-451000000,NET_CAP_EXP,BA UN Equity
CAT UN Equity,42588000000,60138000000,65875000000,55656000000,55184000000,47011000000,38537000000,45462000000,54722000000,53800000000,41748000000,50971000000,SALES_REV_TURN,CAT UN Equity
CAT UN Equity.1,14.69662816,16.09631182,17.28425047,15.65868909,11.73709771,14.53064176,10.88823728,16.13875324,20.20942217,20.63011152,17.21998659,18.52818269,EBITDA_TO_REVENUE,CAT UN Equity
CAT UN Equity.2,25.81333333,25.57620818,30.6945119,25.72152886,21.95431472,26.6356499,138.1294964,81.79813817,21.70800307,22.35023041,25.18147685,21.23354461,EFF_TAX_RATE,CAT UN Equity
CAT UN Equity.3,2296000000,2527000000,2813000000,3087000000,3163000000,3046000000,3034000000,2877000000,2766000000,2577000000,2432000000,2352000000,CF_DEPR_AMORT,CAT UN Equity
CAT UN Equity.4,1548000000,-223000000,3156000000,-1685000000,-48000000,-3724000000,-1431000000,3478000000,1072000000,2187000000,1175000000,-139000000,CHNG_WORK_CAP,CAT UN Equity
CAT UN Equity.5,6.072132995,6.524992517,7.705502846,7.98835705,6.123151638,6.936674395,7.597892934,5.138357309,5.328752604,4.960966543,5.066110951,4.849816562,CAP_EXPEND_TO_SALES,CAT UN Equity
CAT UN Equity.6,-1117000000,-2570000000,-3959000000,-3602000000,-2475000000,-2501000000,-2029000000,-1172000000,-1980000000,-1516000000,-1343000000,-1207000000,NET_CAP_EXP,CAT UN Equity
JPM UN Equity,115475000000,110838000000,108184000000,107044000000,103009000000,101006000000,105486000000,114980000000,131412000000,142515000000,129911000000,127202000000,SALES_REV_TURN,JPM UN Equity
JPM UN Equity.2,30.12591013,29.05903024,26.39623751,32.94845361,29.16707385,20.38955117,28.38487375,31.91922006,20.33657148,18.80042794,18.66257155,18.85094523,EFF_TAX_RATE,JPM UN Equity
JPM UN Equity.3,4965000000,5105000000,5147000000,5306000000,4759000000,4940000000,5478000000,6179000000,7791000000,8368000000,8614000000,7932000000,CF_DEPR_AMORT,JPM UN Equity
CVX UN Equity,189607000000,236286000000,222580000000,211664000000,192308000000,122566000000,103310000000,134674000000,158902000000,139865000000,94471000000,155606000000,SALES_REV_TURN,CVX UN Equity
CVX UN Equity.1,20.2724583,21.67288794,21.75667176,19.55882909,18.98984962,14.13687319,12.81676508,16.68993273,21.31187776,22.83559146,16.89619037,23.3307199,EBITDA_TO_REVENUE,CVX UN Equity
CVX UN Equity.3,13063000000,12911000000,13413000000,14186000000,16793000000,21037000000,19457000000,19349000000,19419000000,29218000000,19508000000,17925000000,CF_DEPR_AMORT,CVX UN Equity
CVX UN Equity.4,8824000000,-195000000,1874000000,-4276000000,-6926000000,-1343000000,-11129000000,2989000000,6027000000,-5051000000,2096000000,3052000000,CHNG_WORK_CAP,CVX UN Equity
CVX UN Equity.5,10.34349998,11.21522223,13.89972145,17.94589538,18.41161054,24.07192859,17.52879683,9.952923356,8.679563505,10.09258928,9.444168052,5.177178258,CAP_EXPEND_TO_SALES,CVX UN Equity
CVX UN Equity.6,-17617000000,-22983000000,-28161000000,-36842000000,-29678000000,-23765000000,-14633000000,-8308000000,-11400000000,-11165000000,-5954000000,-6265000000,NET_CAP_EXP,CVX UN Equity
KO UN Equity,35119000000,46542000000,48017000000,46854000000,45998000000,44294000000,41863000000,36212000000,34300000000,37266000000,33014000000,38655000000,SALES_REV_TURN,KO UN Equity
KO UN Equity.1,28.06458043,26.05603541,26.57600433,26.04900329,25.4011044,24.15225538,24.87399374,24.89506241,29.8483965,31.60521655,32.97388986,31.30772216,EBITDA_TO_REVENUE,KO UN Equity
KO UN Equity.2,16.68191736,24.54180485,23.05868405,24.84098632,23.60321716,23.31077564,19.49360865,81.37880987,21.26443769,16.69757093,20.32003282,21.0945674,EFF_TAX_RATE,KO UN Equity
KO UN Equity.3,1443000000,1954000000,1982000000,1977000000,1976000000,1970000000,1787000000,1260000000,1086000000,1365000000,1536000000,1452000000,CF_DEPR_AMORT,KO UN Equity
KO UN Equity.4,-759000000,-1857000000,1293000000,986000000,-2881000000,5854000000,1012000000,-4261000000,-7069000000,-2710000000,11201000000,-2044000000,CHNG_WORK_CAP,KO UN Equity
KO UN Equity.5,6.307127196,6.273903141,5.789616178,5.442438212,5.230662203,5.763760329,5.403339464,4.83265216,4.513119534,5.511726507,3.565154177,3.536411848,CAP_EXPEND_TO_SALES,KO UN Equity
KO UN Equity.6,-2081000000,-2819000000,-2637000000,-2439000000,-2183000000,-2468000000,-2112000000,-1642000000,-1300000000,-1076000000,-988000000,813000000,NET_CAP_EXP,KO UN Equity
ABBV UN Equity,15638000000,17444000000,18380000000,18790000000,19960000000,22859000000,25638000000,28216000000,32753000000,33266000000,45804000000,56197000000,SALES_REV_TURN,ABBV UN Equity
ABBV UN Equity.1,37.73500448,28.0440266,37.90533188,34.91750931,21.02705411,36.6288989,41.23956627,39.31457329,24.87711049,45.46383695,39.35464152,47.45982882,EBITDA_TO_REVENUE,ABBV UN Equity
ABBV UN Equity.3,1184000000,1272000000,1150000000,897000000,786000000,836000000,1189000000,1501000000,1765000000,2017000000,6471000000,8521000000,CF_DEPR_AMORT,ABBV UN Equity
ABBV UN Equity.5,2.864816473,2.040816327,1.811751904,2.61309207,3.066132265,2.327310906,1.868320462,1.874822796,1.947913168,1.659351891,1.742205921,1.400430628,CAP_EXPEND_TO_SALES,ABBV UN Equity
ABBV UN Equity.6,-448000000,-356000000,-333000000,-491000000,-612000000,-532000000,-479000000,-529000000,-638000000,-552000000,-798000000,-787000000,NET_CAP_EXP,ABBV UN Equity
DIS UN Equity,38063000000,40893000000,42278000000,45041000000,48813000000,52465000000,55632000000,55137000000,59434000000,69607000000,65388000000,67418000000,SALES_REV_TURN,DIS UN Equity
DIS UN Equity.1,21.8295983,23.57860759,25.99224183,25.21924469,27.97820253,29.69217574,30.3512367,30.20657635,30.02994919,22.98188401,6.580718175,13.30356878,EBITDA_TO_REVENUE,DIS UN Equity
DIS UN Equity.3,1713000000,1841000000,1987000000,2192000000,2288000000,2354000000,2527000000,2782000000,3011000000,4167000000,5345000000,5111000000,CF_DEPR_AMORT,DIS UN Equity
DIS UN Equity.4,-1730000000,444000000,-773000000,1509000000,-528000000,-1453000000,-300000000,-3830000000,2671000000,-2182000000,11840000000,-6043000000,CHNG_WORK_CAP,DIS UN Equity
DIS UN Equity.5,5.543441137,8.703201037,8.95028147,6.207677449,6.783029111,8.12922901,8.579594478,6.5709052,7.512534913,7.005042596,6.150975714,5.307187991,CAP_EXPEND_TO_SALES,DIS UN Equity
DIS UN Equity.6,-2110000000,-3559000000,-3784000000,-2796000000,-3311000000,-4265000000,-4773000000,-3623000000,-4465000000,-4876000000,-4022000000,-3578000000,NET_CAP_EXP,DIS UN Equity
FLT UN Equity,433841000,519591000,707534000,895171000,1199390000,1702865000,1831546000,2249538000,2433492000,2648848000,2388855000,2833736000,SALES_REV_TURN,FLT UN Equity
FLT UN Equity.1,45.85988876,49.53415282,52.49500377,54.38402272,56.08642727,50.37017027,51.99126858,50.77522585,55.88528748,57.615235,52.23280609,54.71769424,EBITDA_TO_REVENUE,FLT UN Equity
FLT UN Equity.2,28.67794818,30.13225719,30.43566395,29.50375277,28.1193037,32.38278073,29.6357706,17.16559048,25.90042233,16.95516594,20.20441347,24.28833486,EFF_TAX_RATE,FLT UN Equity
FLT UN Equity.3,28466000,31041000,46492000,66198000,107246000,190202000,198091000,258448000,269266000,274210000,254801000,284196000,CF_DEPR_AMORT,FLT UN Equity
FLT UN Equity.4,131360000,-156683000,51954000,-608518000,-203882000,456418000,-465775000,222824000,-73426000,774730000,-167496000,209690000,CHNG_WORK_CAP,FLT UN Equity
FLT UN Equity.5,2.580207956,2.589344311,2.701071609,2.321902743,2.256980632,2.459091003,3.2219229,3.115884239,3.344453156,2.83783743,3.282953549,3.935793595,CAP_EXPEND_TO_SALES,FLT UN Equity
FLT UN Equity.6,-11194000,-13454000,-19111000,-20785000,-27070000,-41875000,-59011000,-70093000,-81387000,-75170000,-78425000,-111530000,NET_CAP_EXP,FLT UN Equity
EXR UN Equity,281497000,329830000,409396000,520613000,647155000,782270000,991875000,1105009000,1196604000,1308454000,1356212000,1577362000,SALES_REV_TURN,EXR UN Equity
EXR UN Equity.1,50.1476037,52.59982415,56.59410449,59.29836558,60.81139758,54.72701241,63.75783239,66.50633615,69.25875227,66.87915662,67.78387155,79.06174993,EBITDA_TO_REVENUE,EXR UN Equity
EXR UN Equity.2,11.08802217,1.938635067,4.066805908,5.105860693,3.720523331,5.051566946,3.8376407,0.700013711,2.025753631,2.445337791,2.598834759,2.263045023,EFF_TAX_RATE,EXR UN Equity
EXR UN Equity.3,50349000,58014000,74453000,95232000,115076000,133457000,182560000,193296000,209050000,219857000,224444000,241879000,CF_DEPR_AMORT,EXR UN Equity
EXR UN Equity.5,38.22243221,62.77021496,148.7198214,69.71570053,82.18989268,49.11450011,112.3901701,62.69179708,41.06304174,31.40920506,29.09139574,81.98390731,CAP_EXPEND_TO_SALES,EXR UN Equity
EXR UN Equity.6,-89900000,-202019000,-605486000,-349461000,-527066000,-376028000,-1048989000,-372766000,-434607000,-391957000,-343424000,-716796000,NET_CAP_EXP,EXR UN Equity
XOM UN Equity,341578000000,433526000000,419100000000,390247000000,364763000000,236810000000,200628000000,237162000000,279332000000,255583000000,178574000000,276692000000,SALES_REV_TURN,XOM UN Equity
XOM UN Equity.1,16.06719402,16.07446843,15.69291339,14.72990183,14.08558434,13.06152612,11.58562115,13.47897218,14.1709507,12.50591784,9.468903648,16.40163069,EBITDA_TO_REVENUE,XOM UN Equity
XOM UN Equity.3,14760000000,15583000000,15888000000,17182000000,17297000000,18048000000,22308000000,19893000000,18745000000,18998000000,46009000000,20607000000,CF_DEPR_AMORT,XOM UN Equity
XOM UN Equity.4,-6823000000,-893000000,4863000000,-12737000000,693000000,370000000,5131000000,-4415000000,1472000000,-4772000000,2467000000,13981000000,CHNG_WORK_CAP,XOM UN Equity
XOM UN Equity.5,7.866724438,7.144900191,8.177284658,8.627612768,9.033810995,11.18618302,8.056203521,6.494295039,7.007432016,9.531541613,9.67778064,4.364419644,CAP_EXPEND_TO_SALES,XOM UN Equity
XOM UN Equity.6,-23610000000,-19842000000,-26616000000,-30962000000,-28917000000,-24101000000,-11888000000,-12299000000,-15451000000,-20669000000,-16283000000,-8900000000,NET_CAP_EXP,XOM UN Equity
PSX UN Equity,132872000000,182133000000,165919000000,157730000000,146514000000,85195000000,70898000000,102354000000,111461000000,107293000000,64129000000,111476000000,SALES_REV_TURN,PSX UN Equity
PSX UN Equity.1,0.324372328,2.540451209,2.658526148,2.250681544,3.035204827,6.796173484,3.094586589,2.987670242,5.864831645,3.96204785,-5.94114987,0.910509886,EBITDA_TO_REVENUE,PSX UN Equity
PSX UN Equity.3,880000000,908000000,906000000,947000000,995000000,1078000000,1168000000,1318000000,1356000000,1341000000,1395000000,1605000000,CF_DEPR_AMORT,PSX UN Equity
PSX UN Equity.5,0.865494611,0.561128406,1.025199043,1.127876751,2.575180529,6.765655261,4.011396654,1.789866542,2.367644288,3.609741549,4.55332221,1.668520578,CAP_EXPEND_TO_SALES,PSX UN Equity
PSX UN Equity.6,-488000000,1605000000,-1415000000,-565000000,-2529000000,-5694000000,-2688000000,-1746000000,-2627000000,-3787000000,-2869000000,-1833000000,NET_CAP_EXP,PSX UN Equity
GE UN Equity,148442000000,141479000000,144121000000,142937000000,116406000000,115158000000,119687000000,99279000000,97012000000,90221000000,75833000000,74196000000,SALES_REV_TURN,GE UN Equity
GE UN Equity.1,16.77288099,17.48952141,17.22233401,16.54854936,14.00443276,12.32654266,15.9181866,-2.597729631,-9.490578485,8.781769211,4.830350903,10.04771147,EBITDA_TO_REVENUE,GE UN Equity
GE UN Equity.3,9786000000,8986000000,9192000000,9762000000,4953000000,4847000000,4997000000,6194000000,6582000000,3541000000,3464000000,3009000000,CF_DEPR_AMORT,GE UN Equity
GE UN Equity.4,22151000000,-12120000000,32064000000,31906000000,-13376000000,24179000000,10568000000,-12202000000,-17003000000,-16097000000,6009000000,-15845000000,CHNG_WORK_CAP,GE UN Equity
GE UN Equity.5,6.601905121,8.932067657,10.49049063,9.415336827,6.128550075,6.346932041,6.014855415,6.690236606,6.831113677,2.456190909,2.082206955,1.684726939,CAP_EXPEND_TO_SALES,GE UN Equity
GE UN Equity.6,-2592000000,-6770000000,-8935000000,-7575000000,-4211000000,-4289000000,-2775000000,-1112000000,-2534000000,-1837000000,-1376000000,-1083000000,NET_CAP_EXP,GE UN Equity
