,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,DATE,company_name
GIS UN Equity.1,20.92978764,21.8216153,18.63320106,19.35287863,19.78156966,15.11942508,20.01738805,20.29475409,19.30510025,18.59450229,20.88945117,21.39791471,EBITDA_TO_REVENUE,GIS UN Equity
GIS UN Equity.2,34.98298934,29.69689482,32.10133454,29.23981222,33.2693032,33.30495488,31.41953736,28.84691586,2.68308672,17.66570605,18.47934774,22.01651851,EFF_TAX_RATE,GIS UN Equity
GIS UN Equity.3,457100000,472600000,541500000,588000000,585400000,588300000,608100000,603600000,618800000,620100000,594700000,601300000,CF_DEPR_AMORT,GIS UN Equity
GIS UN Equity.4,-218000000,531900000,-394600000,-843200000,-35000000,-74400000,26900000,-191900000,-1948800000,317600000,530400000,-141100000,CHNG_WORK_CAP,GIS UN Equity
GIS UN Equity.5,4.440542239,4.36015645,4.057534263,3.453902026,3.704717023,4.040770719,4.403161244,4.381618203,3.956062108,3.187628964,2.614230765,2.928228609,CAP_EXPEND_TO_SALES,GIS UN Equity
GIS UN Equity.6,-642500000,-644700000,-673700000,-589700000,-656900000,-701400000,-724900000,-680200000,-621300000,-523300000,-459100000,-528100000,NET_CAP_EXP,GIS UN Equity
GPC UN Equity,11207589000,12458877000,13013868000,14077843000,15341647000,15280044000,15339713000,16308801000,16831605000,17522234000,16537433000,18870510000,SALES_REV_TURN,GPC UN Equity
GPC UN Equity.1,7.813277236,8.013723869,8.556364641,8.40470376,8.294670057,8.285898915,7.935344032,7.280302212,7.501500897,8.436150322,6.053539265,9.486330788,EBITDA_TO_REVENUE,GPC UN Equity
GPC UN Equity.2,37.57920563,36.56127148,36.39997566,34.40999939,36.36385596,37.19997045,36.03142394,38.89066135,24.64253326,24.76576401,56.92968305,25.12242303,EFF_TAX_RATE,GPC UN Equity
GPC UN Equity.3,89332000,88936000,98383000,133957000,148313000,141675000,147487000,167691000,227584000,257263000,272842000,290971000,CF_DEPR_AMORT,GPC UN Equity
GPC UN Equity.4,-181471000,299089000,-409669000,-294046000,-30037000,-393748000,89619000,134587000,-163911000,-130461000,-324817000,-44840000,CHNG_WORK_CAP,GPC UN Equity
GPC UN Equity.5,0.761796315,0.83048416,0.78367938,0.881264268,0.701886831,0.71690893,1.047236021,0.961198803,1.345718367,1.585830893,0.928209354,1.410327543,CAP_EXPEND_TO_SALES,GPC UN Equity
GPC UN Equity.6,-81703000,-94561000,-93483000,-113406000,-98815000,-100926000,-131832000,-135485000,-212115000,-253486000,-135438000,-239587000,NET_CAP_EXP,GPC UN Equity
ATO UN Equity,4719835000,4286435000,3438483000,3886257000,4940916000,4142136000,2454648000,2759735000,3115546000,2901848000,2821137000,3407490000,SALES_REV_TURN,ATO UN Equity
ATO UN Equity.1,14.70625562,15.37737071,20.13483853,19.01076023,17.5136756,21.87738404,38.71536774,37.94491138,34.95429052,39.19964106,45.89688484,41.82914697,EBITDA_TO_REVENUE,ATO UN Equity
ATO UN Equity.2,38.54572505,36.03794782,33.82181791,38.19987838,39.2186553,38.31311856,36.26849925,36.64711121,1.322110665,21.35953831,19.46354828,18.7643339,EFF_TAX_RATE,ATO UN Equity
ATO UN Equity.3,216960000,233155000,246093000,236928000,253987000,274796000,293096000,319633000,361083000,391456000,429828000,477977000,CF_DEPR_AMORT,ATO UN Equity
ATO UN Equity.4,-382406000,434242000,-591347000,152772000,160410000,-393707000,-578078000,632798000,-962481000,684869000,440266000,-360497000,CHNG_WORK_CAP,ATO UN Equity
ATO UN Equity.5,11.49692733,14.53340597,21.31341059,21.74413581,16.90478041,23.26386676,44.28129817,41.20283288,47.10541908,58.35857012,68.6133286,57.80031636,CAP_EXPEND_TO_SALES,ATO UN Equity
ATO UN Equity.6,-542636000,-622965000,-732858000,-845033000,-835251000,-963621000,-1086950000,-1137089000,-1467591000,-1693477000,-1935676000,-1969540000,NET_CAP_EXP,ATO UN Equity
GWW UN Equity,7182158000,8078185000,8950045000,9437758000,9964953000,9973384000,10137204000,10425000000,11221000000,11486000000,11797000000,13022000000,SALES_REV_TURN,GWW UN Equity
GWW UN Equity.1,14.06475602,14.87498739,14.41527948,15.6548515,15.60913534,15.32365544,13.49833741,12.46043165,12.61028429,13.64269546,10.82478596,13.86883735,EBITDA_TO_REVENUE,GWW UN Equity
GWW UN Equity.2,39.84595527,36.62435677,37.47934539,37.26703733,39.12586013,37.22148708,37.89970738,33.44017094,23.86679001,25.97187758,20.27455121,24.98316498,EFF_TAX_RATE,GWW UN Equity
GWW UN Equity.3,149678000,149200000,159049000,180613000,208326000,227967000,248857000,264000000,257000000,229000000,182000000,185000000,CF_DEPR_AMORT,GWW UN Equity
GWW UN Equity.4,14052000,-61793000,513662000,27858000,-142662000,-445725000,131184000,307708000,357000000,-179000000,601000000,5000000,CHNG_WORK_CAP,GWW UN Equity
GWW UN Equity.5,1.769997263,2.437948623,2.791717807,2.883576799,3.887524607,3.748657427,2.804017755,2.273381295,2.129934943,1.924081491,1.66991608,1.958224543,CAP_EXPEND_TO_SALES,GWW UN Equity
GWW UN Equity.6,-120616000,-189664000,-241330000,-245444000,-360635000,-359011000,-229226000,-117000000,-153000000,-204000000,-177000000,-226000000,NET_CAP_EXP,GWW UN Equity
HAL UN Equity,17973000000,24829000000,28503000000,29402000000,32870000000,23633000000,15887000000,20620000000,23995000000,22408000000,14445000000,15295000000,SALES_REV_TURN,HAL UN Equity
HAL UN Equity.1,22.96778501,24.55193524,20.30312599,17.13488878,21.97444478,7.066390217,-33.1528923,14.20950533,16.97436966,6.814530525,-7.518172378,19.44426283,EBITDA_TO_REVENUE,HAL UN Equity
HAL UN Equity.3,1119000000,1359000000,1628000000,1900000000,2126000000,1835000000,1503000000,1556000000,1606000000,1625000000,1058000000,904000000,CF_DEPR_AMORT,HAL UN Equity
HAL UN Equity.4,380000000,1327000000,878000000,344000000,507000000,5548000000,-7079000000,-1739000000,434000000,-15000000,-1280000000,583000000,CHNG_WORK_CAP,HAL UN Equity
HAL UN Equity.5,11.51171201,11.89335052,12.51096376,9.978912999,9.987830849,9.24131511,5.022974759,6.658583899,8.443425714,6.8279186,5.039806161,5.223929389,CAP_EXPEND_TO_SALES,HAL UN Equity
HAL UN Equity.6,-2069000000,-2953000000,-3171000000,-2693000000,-2945000000,-2016000000,-576000000,-1215000000,-1808000000,-1340000000,-442000000,-542000000,NET_CAP_EXP,HAL UN Equity
PEAK UN Equity,1240206000,1694418000,1879970000,2099878000,1636833000,1940489000,2129294000,1848378000,1191320000,1240339000,1644875000,1896184000,SALES_REV_TURN,PEAK UN Equity
PEAK UN Equity.1,72.75363931,74.72312027,82.22652489,82.45998101,72.24603854,58.17600615,61.2990503,50.49107921,72.63270994,78.79055645,53.62164298,53.67638373,EBITDA_TO_REVENUE,PEAK UN Equity
PEAK UN Equity.3,321993000,372919000,387557000,462508000,480931000,535617000,595882000,548984000,566062000,678151000,714511000,702488000,CF_DEPR_AMORT,PEAK UN Equity
PEAK UN Equity.5,32.47662082,14.83034293,20.29362171,12.36033712,46.04727544,90.12553021,46.02116946,56.77907874,86.95531008,188.6607613,125.0148492,116.2894002,CAP_EXPEND_TO_SALES,PEAK UN Equity
PEAK UN Equity.6,-272563000,-179202000,-169131000,-99179000,-577426000,-1605971000,-240730000,380093000,1114754000,-2000734000,-657842000,305539000,NET_CAP_EXP,PEAK UN Equity
CTLT UN Equity,1480400000,1531800000,1694800000,1800300000,1827700000,1830800000,1848100000,2075400000,2463400000,2518000000,3094300000,3998000000,SALES_REV_TURN,CTLT UN Equity
HSY UN Equity,5671009000,6080788000,6644252000,7146079000,7421768000,7386626000,7440181000,7515426000,7791069000,7986252000,8149719000,8971337000,SALES_REV_TURN,HSY UN Equity
HSY UN Equity.1,19.43946836,20.89845921,19.88463111,21.53746131,21.60931196,17.36499181,20.26321671,20.96038202,24.62830197,24.16748182,26.03957265,26.78717788,EBITDA_TO_REVENUE,HSY UN Equity
HSY UN Equity.2,36.97345907,34.67671328,34.92076933,34.43158779,35.15435556,43.12217039,34.51055543,31.88450554,16.95033052,16.94921146,14.68792245,17.49392396,EFF_TAX_RATE,HSY UN Equity
HSY UN Equity.3,197116000,215763000,210037000,201033000,211532000,244928000,301837000,261853000,295144000,291544000,294907000,315002000,CF_DEPR_AMORT,HSY UN Equity
HSY UN Equity.4,231566000,166411000,-230408000,436937000,-767912000,-680714000,276649000,18032000,-104752000,287694000,977851000,-1333267000,CHNG_WORK_CAP,HSY UN Equity
HSY UN Equity.5,3.165891643,5.327615434,3.893997398,4.527671748,4.995965921,4.830486883,3.621901134,3.428614692,4.217662557,3.984246928,5.418910762,5.527347819,CAP_EXPEND_TO_SALES,HSY UN Equity
HSY UN Equity.6,-177337000,-323649000,-258274000,-308220000,-369177000,-355605000,-265825000,-250066000,-278842000,-318192000,-441626000,-495877000,NET_CAP_EXP,HSY UN Equity
SYF UN Equity,8252000000,9638000000,10793000000,11813000000,12727000000,13620000000,15122000000,16695000000,18253000000,19461000000,16472000000,15752000000,SALES_REV_TURN,SYF UN Equity
SYF UN Equity.2,37.45687531,37.20930233,37.23341232,37.01464036,37.71411695,37.2982158,36.94677871,41.78700361,23.43578485,23.3271946,22.92710072,23.29638379,EFF_TAX_RATE,SYF UN Equity
HRL UN Equity,7220719000,7895089000,8230670000,8751654000,9316256000,9263863000,9523224000,9167519000,9545700000,9497317000,9608462000,11386189000,SALES_REV_TURN,HRL UN Equity
HRL UN Equity.1,10.69375501,10.97453113,10.74235755,10.63614946,11.39582253,12.96169859,15.28750138,15.39616116,14.05678997,14.33535387,13.7962038,12.05845081,EBITDA_TO_REVENUE,HRL UN Equity
HRL UN Equity.2,35.98985511,33.33722852,33.41188261,33.616612,34.28133323,34.98854933,32.39395239,33.74994623,14.28123974,19.05961321,18.51478407,19.27151318,EFF_TAX_RATE,HRL UN Equity
HRL UN Equity.3,125591000,124165000,119494000,124850000,130044000,133434000,131968000,130977000,161858000,165209000,205781000,228406000,CF_DEPR_AMORT,HRL UN Equity
HRL UN Equity.4,-132751000,463092000,314339000,-270980000,-85325000,-329072000,127709000,-8405000,-57125000,345178000,818734000,-542936000,CHNG_WORK_CAP,HRL UN Equity
HRL UN Equity.5,1.243961993,1.227484579,1.607439006,1.219906546,1.708175473,1.555107194,2.683166961,2.413804651,4.08149219,3.093905363,3.824764047,2.04120975,CAP_EXPEND_TO_SALES,HRL UN Equity
HRL UN Equity.6,-84908000,-92525000,-127739000,-96598000,-148853000,-125562000,-249297000,-217532000,-379858000,-256436000,-365585000,-230200000,NET_CAP_EXP,HRL UN Equity
AJG UN Equity,1864200000,2134700000,2520300000,3179600000,4626500000,5392400000,5680500000,6249000000,6934000000,7195000000,7003600000,8209400000,SALES_REV_TURN,AJG UN Equity
AJG UN Equity.1,17.73951293,17.04220734,17.00987978,15.82589005,13.82038258,13.55055263,13.98116363,13.91742679,14.95240842,19.45100764,25.05996916,23.26479402,EBITDA_TO_REVENUE,AJG UN Equity
AJG UN Equity.3,93100000,115200000,140400000,178600000,258900000,334200000,350800000,385800000,419000000,474400000,562400000,566300000,CF_DEPR_AMORT,AJG UN Equity
AJG UN Equity.4,83100000,-22900000,-59200000,-475800000,577700000,-141900000,-222200000,734800000,-114100000,-228600000,792700000,-53800000,CHNG_WORK_CAP,AJG UN Equity
AJG UN Equity.5,1.362514752,2.150185038,2.023568623,2.943766512,1.761590835,1.835917217,3.834169527,2.067530805,1.794058264,1.929117443,1.417842253,1.566496943,CAP_EXPEND_TO_SALES,AJG UN Equity
AJG UN Equity.6,-25400000,-45900000,-51000000,-93600000,-81500000,-99000000,-217800000,-129200000,-124400000,-138800000,-99300000,-128600000,NET_CAP_EXP,AJG UN Equity
MDLZ UW Equity,49207000000,35810000000,35015000000,35299000000,34244000000,29636000000,25923000000,25896000000,25938000000,25868000000,26581000000,28720000000,SALES_REV_TURN,MDLZ UW Equity
MDLZ UW Equity.1,14.44103481,13.91510751,14.22818792,14.3006884,12.5598645,33.03752193,13.0849053,16.51992586,15.89559719,19.73867326,19.55532147,20.84958217,EBITDA_TO_REVENUE,MDLZ UW Equity
MDLZ UW Equity.2,31.49368479,6.170212766,9.470124014,2.508361204,13.82145654,7.521562659,8.872077029,21.31882202,27.19915552,0.058021468,36.18090452,27.23735409,EFF_TAX_RATE,MDLZ UW Equity
MDLZ UW Equity.3,1440000000,1485000000,1345000000,1077000000,1059000000,894000000,823000000,816000000,811000000,1047000000,1116000000,1113000000,CF_DEPR_AMORT,MDLZ UW Equity
MDLZ UW Equity.4,-635000000,-2571000000,3046000000,-1983000000,-1077000000,293000000,-3973000000,-2336000000,-860000000,1441000000,2512000000,1514000000,CHNG_WORK_CAP,MDLZ UW Equity
MDLZ UW Equity.5,3.375536001,4.945545937,4.598029416,4.595031021,4.795000584,5.10865164,4.721675732,3.915662651,4.221605367,3.575846606,3.246679959,3.360027855,CAP_EXPEND_TO_SALES,MDLZ UW Equity
MDLZ UW Equity.6,-1661000000,-1771000000,-1610000000,-1622000000,-1642000000,-1454000000,-1086000000,-905000000,-697000000,-843000000,-853000000,-732000000,NET_CAP_EXP,MDLZ UW Equity
CNP UN Equity,8785000000,8450000000,7452000000,8106000000,9226000000,7386000000,7528000000,9614000000,10589000000,7564000000,7418000000,8352000000,SALES_REV_TURN,CNP UN Equity
CNP UN Equity.1,24.05236198,25.84615385,28.01932367,24.2289662,21.11424236,25.76496074,27.69659936,22.59205326,19.58636321,31.58381809,30.18333783,32.17193487,EBITDA_TO_REVENUE,CNP UN Equity
CNP UN Equity.3,864000000,886000000,1050000000,954000000,1013000000,970000000,1126000000,1036000000,1243000000,1311000000,1191000000,1316000000,CF_DEPR_AMORT,CNP UN Equity
CNP UN Equity.4,96000000,-218000000,-445000000,340000000,837000000,-254000000,-379000000,483000000,3397000000,-3764000000,-1825000000,4944000000,CHNG_WORK_CAP,CNP UN Equity
CNP UN Equity.5,17.17700626,15.42011834,16.26409018,15.86479151,14.87101669,21.44597888,18.78320935,14.83253589,15.59165171,33.13061872,34.99595578,37.88314176,CAP_EXPEND_TO_SALES,CNP UN Equity
CNP UN Equity.6,-1509000000,-1303000000,-1212000000,-1286000000,-1372000000,-1584000000,-1414000000,-1426000000,-1651000000,-2506000000,-2596000000,-3164000000,NET_CAP_EXP,CNP UN Equity
HUM UN Equity,33596000000,36832000000,39126000000,41313000000,48500000000,54289000000,54379000000,53767000000,56912000000,64888000000,77155000000,83064000000,SALES_REV_TURN,HUM UN Equity
HUM UN Equity.1,6.301345398,7.186685491,6.016459643,6.019896885,5.795876289,5.146530605,4.056713069,8.828835531,6.385296598,5.973369498,7.260708962,4.648223057,EBITDA_TO_REVENUE,HUM UN Equity
HUM UN Equity.2,37.16409377,36.51006711,36.05442177,35.9187923,47.14285714,47.51131222,60.43814433,39.10447761,18.9529811,22.0775463,28.41304348,14.46034586,EFF_TAX_RATE,HUM UN Equity
HUM UN Equity.3,263000000,303000000,338000000,426000000,449000000,447000000,465000000,485000000,534000000,575000000,616000000,713000000,CF_DEPR_AMORT,HUM UN Equity
HUM UN Equity.4,400176000,732000000,210000000,642000000,2088000000,-506000000,809000000,-372000000,-1125000000,2088000000,1288000000,-685000000,CHNG_WORK_CAP,HUM UN Equity
HUM UN Equity.5,0.660792952,0.939400521,1.047896539,1.067460606,1.088659794,0.963362744,0.96912411,0.974575483,1.075344391,1.134262113,1.24943296,1.584320524,CAP_EXPEND_TO_SALES,HUM UN Equity
HUM UN Equity.6,-222000000,-336000000,-410000000,-437000000,-528000000,-522000000,-527000000,-524000000,-612000000,-736000000,-964000000,-1316000000,NET_CAP_EXP,HUM UN Equity
WTW UW Equity,3332000000,3447000000,3480000000,3655000000,3802000000,3829000000,7887000000,8202000000,8513000000,9039000000,8615000000,8998000000,SALES_REV_TURN,WTW UW Equity
WTW UW Equity.1,26.95078031,20.53959965,-2.040229885,22.81805746,20.85744345,15.61765474,16.73640167,16.447208,18.27792788,24.70406018,20.76610563,33.60746833,EBITDA_TO_REVENUE,WTW UW Equity
WTW UW Equity.3,145000000,142000000,138000000,149000000,146000000,171000000,769000000,833000000,747000000,729000000,770000000,650000000,CF_DEPR_AMORT,WTW UW Equity
WTW UW Equity.4,314000000,200000000,-287000000,283000000,-359000000,-926000000,720000000,684000000,13000000,-152000000,2000000,2795000000,CHNG_WORK_CAP,WTW UW Equity
WTW UW Equity.5,2.490996399,3.220191471,3.879310345,3.064295486,2.972119937,3.813006007,2.764042095,3.657644477,3.148126395,2.721539993,2.588508416,1.644809958,CAP_EXPEND_TO_SALES,WTW UW Equity
WTW UW Equity.6,-73000000,-98000000,-130000000,-100000000,-107000000,-146000000,-218000000,-300000000,-268000000,-246000000,-223000000,-148000000,NET_CAP_EXP,WTW UW Equity
ITW UN Equity,15416000000,14515000000,14791000000,14135000000,14484000000,13405000000,13599000000,14314000000,14768000000,14109000000,12574000000,14455000000,SALES_REV_TURN,ITW UN Equity
ITW UN Equity.1,18.18240789,20.35825009,20.87756068,22.12239123,23.43965755,24.9459157,25.92837709,27.57440268,27.39030336,27.62066766,26.83314777,27.38152888,EBITDA_TO_REVENUE,ITW UN Equity
ITW UN Equity.2,30.49305888,20.15294647,30.34934498,30.54963784,29.97406447,30.15814638,30.02063274,48.40978593,24.48438421,23.32725061,22.00443787,19.00180397,EFF_TAX_RATE,ITW UN Equity
ITW UN Equity.3,549000000,594000000,613000000,613000000,507000000,477000000,470000000,462000000,461000000,426000000,427000000,410000000,CF_DEPR_AMORT,ITW UN Equity
ITW UN Equity.4,108679000,924983000,1436381000,-1527000000,557000000,13000000,-989000000,862000000,-1989000000,1863000000,-165000000,-1030000000,CHNG_WORK_CAP,ITW UN Equity
ITW UN Equity.5,1.868188895,2.431966931,2.582651612,2.603466572,2.492405413,2.118612458,2.007500552,2.074891714,2.464788732,2.310581898,1.876888818,2.047734348,CAP_EXPEND_TO_SALES,ITW UN Equity
ITW UN Equity.6,-270000000,-336000000,-352000000,-330000000,-333000000,-254000000,-257000000,-283000000,-338000000,-301000000,-226000000,-288000000,NET_CAP_EXP,ITW UN Equity
CDW UW Equity,8801200000,9602400000,10128200000,10768600000,12074500000,12988700000,13981900000,14832900000,16240500000,18032400000,18467500000,20820800000,SALES_REV_TURN,CDW UW Equity
CDW UW Equity.1,6.386629096,7.035741065,7.116763097,6.656389874,7.295540188,7.463410503,7.679213841,7.60067148,7.714663957,8.285086844,8.976851225,7.973757012,EBITDA_TO_REVENUE,CDW UW Equity
CDW UW Equity.3,209400000,204900000,210200000,208200000,207900000,227400000,254500000,260900000,265600000,267100000,425600000,191200000,CF_DEPR_AMORT,CDW UW Equity
CDW UW Equity.5,0.47152661,0.475922686,0.408759701,0.437382761,0.455505404,0.693679891,0.454158591,0.546757546,0.530156091,1.310419024,0.85555706,0.480288942,CAP_EXPEND_TO_SALES,CDW UW Equity
CDW UW Equity.6,-41300000,-45700000,-41400000,-47100000,-55000000,-90100000,-63500000,-81100000,-86100000,-236300000,-158000000,-100000000,NET_CAP_EXP,CDW UW Equity
TT UN Equity,14001100000,12760800000,11988300000,12350500000,12891400000,13300700000,13508900000,14197600000,15668200000,13075900000,12454700000,14136400000,SALES_REV_TURN,TT UN Equity
TT UN Equity.1,12.129047,6.247257225,11.72559913,11.6489211,13.47487472,13.95264911,14.47490173,14.21789598,14.03926424,16.23138751,16.05899781,17.62117654,EBITDA_TO_REVENUE,TT UN Equity
TT UN Equity.2,22.56851687,24.07211029,6.603773585,22.78206365,24.28476931,43.33680583,16.16608281,5.656252204,16.94272119,17.05625849,23.03990064,18.62400179,EFF_TAX_RATE,TT UN Equity
TT UN Equity.3,436800000,358500000,333800000,333700000,332400000,364100000,352200000,353300000,282300000,288800000,294300000,299400000,CF_DEPR_AMORT,TT UN Equity
TT UN Equity.4,1429600000,-943400000,609900000,640100000,-266300000,-1080800000,1028000000,-697900000,125200000,2638900000,-1488500000,-848200000,CHNG_WORK_CAP,TT UN Equity
TT UN Equity.5,1.282042125,1.701303993,2.027810449,1.961054208,1.811285043,1.876592961,1.352441724,1.558714149,2.333388647,1.570828777,1.173854047,1.577487904,CAP_EXPEND_TO_SALES,TT UN Equity
TT UN Equity.6,-165000000,-168600000,-225200000,-217900000,-219100000,-231100000,-173200000,-219800000,-343500000,-203200000,-146100000,-207900000,NET_CAP_EXP,TT UN Equity
IPG UN Equity,6507300000,7014600000,6956200000,7122300000,7537100000,7613800000,7846600000,9047600000,9714400000,10221300000,9061000000,10240700000,SALES_REV_TURN,IPG UN Equity
IPG UN Equity.1,10.71258433,11.94793716,11.87429919,10.61033655,12.62289209,13.55170874,14.03410394,12.10818339,12.47323561,16.40495827,13.04160689,19.57776324,EBITDA_TO_REVENUE,IPG UN Equity
IPG UN Equity.2,38.0159787,25.75839653,31.60936574,38.71794872,30.04023866,37.10312254,23.84967478,32.26688868,23.77088305,23.31777297,2.214226405,20.60387857,EFF_TAX_RATE,IPG UN Equity
IPG UN Equity.3,148400000,150900000,147700000,157400000,163000000,157000000,160200000,157100000,202900000,278500000,290600000,283800000,CF_DEPR_AMORT,IPG UN Equity
IPG UN Equity.4,-19500000,-458400000,782400000,-1117900000,428200000,-238100000,-376800000,68200000,258800000,-708700000,436800000,554700000,CHNG_WORK_CAP,IPG UN Equity
IPG UN Equity.5,1.479876446,2.000114048,2.432362497,2.428990635,1.972907352,2.115894823,2.557795733,1.723108891,1.823066787,1.94202303,1.848581834,1.907096195,CAP_EXPEND_TO_SALES,IPG UN Equity
IPG UN Equity.6,-96300000,-140300000,-169200000,-173000000,-148700000,-161100000,-200700000,-155900000,-177100000,-198500000,-167500000,-195300000,NET_CAP_EXP,IPG UN Equity
IFF UN Equity,2622862000,2788018000,2821446000,2952896000,3088533000,3023189000,3116350000,3398719000,3977539000,5140000000,5084000000,11656000000,SALES_REV_TURN,IFF UN Equity
IFF UN Equity.1,18.89550422,18.043499,19.96440832,20.30433852,22.07115805,22.42479713,21.4938951,19.73087507,19.04881385,20.237607,18.74508261,16.37783116,EBITDA_TO_REVENUE,IFF UN Equity
IFF UN Equity.2,26.70686026,28.55873172,42.68709899,27.13587931,24.49964576,22.23219768,22.66223934,44.94595425,24.11486588,17.41472172,16.78004535,21.18644068,EFF_TAX_RATE,IFF UN Equity
IFF UN Equity.3,79242000,75327000,76667000,83227000,89354000,89597000,102469000,117967000,173792000,323000000,325000000,1156000000,CF_DEPR_AMORT,IFF UN Equity
IFF UN Equity.4,20632000,88410000,190155000,149728000,98682000,-479266000,-1236000,417059000,685773000,-423195000,-234354000,2198000000,CHNG_WORK_CAP,IFF UN Equity
IFF UN Equity.5,4.052862865,4.571598892,4.470757193,4.543234845,4.635922621,3.341835393,4.056412149,3.794753259,4.276362846,4.591439689,3.776553895,3.371654084,CAP_EXPEND_TO_SALES,IFF UN Equity
IFF UN Equity.6,-104644000,-126752000,-124377000,-106845000,-139887000,-96728000,-119556000,-112834000,-161918000,-194000000,-175000000,-375000000,NET_CAP_EXP,IFF UN Equity
J UN Equity,9915517000,10381664000,10893778000,11818376000,12695157000,12114832000,10964157000,6330126000,10579773000,12737868000,13566975000,14092632000,SALES_REV_TURN,J UN Equity
J UN Equity.1,4.927408223,5.917047595,6.397202146,6.49711094,5.305015133,4.909841094,4.273643655,5.792222777,5.539154763,4.507190685,6.433667048,7.710099859,EBITDA_TO_REVENUE,J UN Equity
J UN Equity.2,37.16110366,35.11780452,34.10917254,33.46181985,35.05457738,23.54017441,25.18388828,30.06448588,98.38389515,10.52943506,12.53844602,39.50261788,EFF_TAX_RATE,J UN Equity
J UN Equity.3,88495000,95370000,100824000,98874000,145412000,149292000,129971000,122513000,198587000,169269000,181633000,250800000,CF_DEPR_AMORT,J UN Equity
J UN Equity.4,5041000,-516024000,853460000,286914000,-609714000,-400713000,-59728000,-11831000,340938000,-372829000,559940000,-516031000,CHNG_WORK_CAP,J UN Equity
J UN Equity.5,0.494931328,0.951186631,0.941583352,1.076882306,1.040916627,0.729717094,0.617357085,1.865049764,0.896843439,1.067502034,0.871741858,0.658599472,CAP_EXPEND_TO_SALES,J UN Equity
J UN Equity.6,-34696000,-94889000,-102255000,-122994000,-121732000,-88035000,-57209000,-115673000,-91591000,-128800000,-118173000,-92340000,NET_CAP_EXP,J UN Equity
GNRC UN Equity,592880000,791976000,1176306000,1485765000,1460919000,1317299000,1444453000,1679373000,2023464000,2204336000,2485200000,3737184000,SALES_REV_TURN,GNRC UN Equity
GNRC UN Equity.1,25.25570099,21.35216219,23.60907791,26.1305792,22.45880846,16.69279336,17.93308609,18.01993958,19.99487018,20.08400716,22.79603251,22.35932189,EBITDA_TO_REVENUE,GNRC UN Equity
GNRC UN Equity.3,59440000,56123000,54160000,36774000,34730000,40333000,54418000,51988000,47408000,60909000,68773000,92041000,CF_DEPR_AMORT,GNRC UN Equity
GNRC UN Equity.4,-27212000,32041000,9819000,175640000,86622000,-71163000,-77223000,86564000,131929000,138702000,329444000,-335652000,CHNG_WORK_CAP,GNRC UN Equity
GNRC UN Equity.5,1.624443395,1.522773417,1.903586312,2.070987,2.374464293,2.326806594,2.109241353,1.980560602,2.352451044,2.758290932,2.499919524,2.943178607,CAP_EXPEND_TO_SALES,GNRC UN Equity
GNRC UN Equity.6,-9555000,-12046000,-22301000,-30690000,-34295000,-30546000,-29107000,-33179000,-47387000,-60707000,-61949000,-109733000,NET_CAP_EXP,GNRC UN Equity
NXPI UW Equity,4402000000,4194000000,4358000000,4815000000,5647000000,6101000000,9498000000,9256000000,9407000000,8877000000,8612000000,11063000000,SALES_REV_TURN,NXPI UW Equity
NXPI UW Equity.1,21.74011813,22.6037196,21.68425883,24.19522326,25.74818488,41.50139321,21.63613392,46.18625756,49.93090252,30.94513912,28.69252206,35.35207448,EBITDA_TO_REVENUE,NXPI UW Equity
NXPI UW Equity.3,684000000,591000000,533000000,514000000,405000000,517000000,2205000000,2173000000,1987000000,2047000000,1988000000,1262000000,CF_DEPR_AMORT,NXPI UW Equity
NXPI UW Equity.4,128000000,529000000,-459000000,441000000,421000000,944000000,701000000,361000000,-1486000000,-364000000,831000000,469000000,CHNG_WORK_CAP,NXPI UW Equity
NXPI UW Equity.5,5.860972285,5.269432523,5.759522717,4.465212876,5.826102355,5.589247664,4.095599073,5.963699222,6.495163176,5.925425256,4.551788203,7.231311579,CAP_EXPEND_TO_SALES,NXPI UW Equity
NXPI UW Equity.6,-227000000,-206000000,-249000000,-209000000,-319000000,-334000000,-388000000,-550000000,-610000000,-503000000,-388000000,-799000000,NET_CAP_EXP,NXPI UW Equity
BR UN Equity,2209200000,2166900000,2303500000,2430800000,2558000000,2694200000,2897000000,4142600000,4329900000,4362200000,4529000000,4993700000,SALES_REV_TURN,BR UN Equity
BR UN Equity.1,18.47727684,16.24901934,13.2971565,17.80483791,20.25019547,21.20109866,21.10113911,17.01105586,18.70943902,20.9229288,21.30933981,21.36291728,EBITDA_TO_REVENUE,BR UN Equity
BR UN Equity.2,34.20052616,36.29959214,37.77999004,34.375,33.50189633,34.58646617,34.42098528,33.04650686,23.7254902,20.61584061,20.18981881,21.35880494,EFF_TAX_RATE,BR UN Equity
BR UN Equity.3,57000000,72300000,92000000,93400000,97400000,104300000,111000000,173100000,212000000,260000000,299300000,334700000,CF_DEPR_AMORT,BR UN Equity
BR UN Equity.4,-76900000,-537300000,398400000,-29600000,58700000,-43700000,243800000,-351600000,-30900000,25900000,-252700000,-13700000,CHNG_WORK_CAP,BR UN Equity
BR UN Equity.5,1.932826362,1.347547187,1.46733232,1.571499095,1.57544957,1.866973499,1.991715568,2.061507266,1.771403497,1.159965155,1.38441157,1.03930953,CAP_EXPEND_TO_SALES,BR UN Equity
